YEARA,DATEA,GAME_IDH,TEAMH,PTSH,TEAMA,PTSA,FG_PCTH,FG_PCTA,FT_PCTH,FT_PCTA,FG3_PCTH,FG3_PCTA,ASTH,ASTA,REBH,REBA,TOVH,TOVA,WIN,WINTEAMNAME,WINTEAMNUM
2015,2015-12-26,21500447,BKN,96.0,WAS,111.0,0.483,0.5,0.313,0.682,0.294,0.444,24.0,32.0,50.0,39.0,19.0,11.0,,BKN,0.0
2015,2015-12-26,21500441,MIL,90.0,TOR,111.0,0.42,0.519,0.889,0.737,0.429,0.448,25.0,31.0,38.0,44.0,13.0,8.0,,MIL,0.0
2015,2015-12-26,21500443,CHA,98.0,MEM,92.0,0.406,0.411,0.875,0.524,0.438,0.368,21.0,21.0,43.0,48.0,16.0,13.0,,CHA,1.0
2015,2015-12-26,21500444,ORL,101.0,MIA,108.0,0.544,0.494,0.462,0.957,0.474,0.5,31.0,22.0,34.0,38.0,9.0,8.0,,ORL,0.0
2015,2015-12-26,21500445,NOP,110.0,HOU,108.0,0.507,0.452,0.808,0.85,0.542,0.455,25.0,21.0,40.0,35.0,15.0,10.0,,NOP,1.0
2015,2015-12-26,21500442,ATL,117.0,NYK,98.0,0.534,0.481,0.833,0.765,0.333,0.292,33.0,25.0,37.0,42.0,9.0,22.0,,ATL,1.0
2015,2015-12-26,21500446,DET,93.0,BOS,99.0,0.385,0.464,0.68,0.739,0.24,0.174,16.0,20.0,51.0,47.0,15.0,14.0,,DET,0.0
2015,2015-12-26,21500448,MIN,88.0,IND,102.0,0.467,0.5,0.778,0.929,0.333,0.346,22.0,25.0,33.0,39.0,21.0,21.0,,MIN,0.0
2015,2015-12-26,21500449,DAL,118.0,CHI,111.0,0.46,0.538,0.786,0.731,0.485,0.381,24.0,20.0,42.0,41.0,11.0,17.0,,DAL,1.0
2015,2015-12-26,21500450,SAS,101.0,DEN,86.0,0.481,0.442,0.941,0.833,0.7,0.278,21.0,25.0,41.0,36.0,11.0,15.0,,SAS,1.0
2015,2015-12-26,21500451,PHX,104.0,PHI,111.0,0.386,0.481,0.765,0.852,0.37,0.444,17.0,20.0,41.0,48.0,14.0,21.0,,PHX,0.0
2015,2015-12-26,21500452,UTA,104.0,LAC,109.0,0.486,0.481,0.815,0.833,0.37,0.5,18.0,24.0,36.0,34.0,16.0,12.0,,UTA,0.0
2015,2015-12-26,21500453,POR,105.0,CLE,76.0,0.461,0.364,0.737,0.6,0.409,0.355,28.0,21.0,49.0,42.0,8.0,17.0,,POR,1.0
2015,2015-12-27,21500455,MEM,112.0,LAL,96.0,0.563,0.381,0.727,0.75,0.375,0.276,30.0,16.0,41.0,46.0,10.0,13.0,,MEM,1.0
2015,2015-12-27,21500454,BOS,100.0,NYK,91.0,0.424,0.371,0.69,0.875,0.4,0.211,18.0,15.0,51.0,48.0,10.0,13.0,,BOS,1.0
2015,2015-12-27,21500456,OKC,122.0,DEN,112.0,0.578,0.489,0.857,0.733,0.533,0.36,27.0,24.0,43.0,37.0,14.0,10.0,,OKC,1.0
2015,2015-12-27,21500457,SAC,94.0,POR,98.0,0.395,0.413,0.806,0.75,0.375,0.303,22.0,19.0,43.0,52.0,22.0,18.0,,SAC,0.0
2015,2015-12-28,21500458,CHA,108.0,LAL,98.0,0.483,0.412,0.727,0.826,0.24,0.31,28.0,24.0,46.0,41.0,10.0,11.0,,CHA,1.0
