Date_Str;Attribute;Value;GAMEDATE
Tu-12/22;Bkn;gsw;22/12/2020
Tu-12/22;Gsw;@ bkn;22/12/2020
Tu-12/22;LAC;@ lal;22/12/2020
Tu-12/22;LAL;lac;22/12/2020
We-12/23;Atl;@ chi;23/12/2020
We-12/23;Bos;mil;23/12/2020
We-12/23;Cha;@ cle;23/12/2020
We-12/23;Chi;atl;23/12/2020
We-12/23;Cle;cha;23/12/2020
We-12/23;Dal;@ pho;23/12/2020
We-12/23;Den;sac;23/12/2020
We-12/23;Det;@ min;23/12/2020
We-12/23;Hou;okc;23/12/2020
We-12/23;Ind;nyk;23/12/2020
We-12/23;Mem;sas;23/12/2020
We-12/23;Mia;@ orl;23/12/2020
We-12/23;Mil;@ bos;23/12/2020
We-12/23;Min;det;23/12/2020
We-12/23;NO;@ tor;23/12/2020
We-12/23;NY;@ ind;23/12/2020
We-12/23;OKC;@ hou;23/12/2020
We-12/23;Orl;mia;23/12/2020
We-12/23;Phi;was;23/12/2020
We-12/23;Pho;dal;23/12/2020
We-12/23;Por;uta;23/12/2020
We-12/23;Sac;@ den;23/12/2020
We-12/23;SA;@ mem;23/12/2020
We-12/23;Tor;nor;23/12/2020
We-12/23;Uth;@ por;23/12/2020
We-12/23;Was;@ phi;23/12/2020
Fr-12/25;Bos;bkn;25/12/2020
Fr-12/25;Bkn;@ bos;25/12/2020
Fr-12/25;Dal;@ lal;25/12/2020
Fr-12/25;Den;lac;25/12/2020
Fr-12/25;Gsw;@ mil;25/12/2020
Fr-12/25;LAC;@ den;25/12/2020
Fr-12/25;LAL;dal;25/12/2020
Fr-12/25;Mia;nor;25/12/2020
Fr-12/25;Mil;gsw;25/12/2020
Fr-12/25;NO;@ mia;25/12/2020
Sa-12/26;Atl;@ mem;26/12/2020
Sa-12/26;Cha;okc;26/12/2020
Sa-12/26;Chi;ind;26/12/2020
Sa-12/26;Cle;@ det;26/12/2020
Sa-12/26;Det;cle;26/12/2020
Sa-12/26;Hou;@ por;26/12/2020
Sa-12/26;Ind;@ chi;26/12/2020
Sa-12/26;Mem;atl;26/12/2020
Sa-12/26;Min;@ uta;26/12/2020
Sa-12/26;NY;phi;26/12/2020
Sa-12/26;OKC;@ cha;26/12/2020
Sa-12/26;Orl;@ was;26/12/2020
Sa-12/26;Phi;@ nyk;26/12/2020
Sa-12/26;Pho;@ sac;26/12/2020
Sa-12/26;Por;hou;26/12/2020
Sa-12/26;Sac;pho;26/12/2020
Sa-12/26;SA;tor;26/12/2020
Sa-12/26;Tor;@ sas;26/12/2020
Sa-12/26;Uth;min;26/12/2020
Sa-12/26;Was;orl;26/12/2020
Su-12/27;Bos;@ ind;27/12/2020
Su-12/27;Bkn;@ cha;27/12/2020
Su-12/27;Cha;bkn;27/12/2020
Su-12/27;Chi;gsw;27/12/2020
Su-12/27;Cle;phi;27/12/2020
Su-12/27;Dal;@ lac;27/12/2020
Su-12/27;Gsw;@ chi;27/12/2020
Su-12/27;Ind;bos;27/12/2020
Su-12/27;LAC;dal;27/12/2020
Su-12/27;LAL;min;27/12/2020
Su-12/27;Mil;@ nyk;27/12/2020
Su-12/27;Min;@ lal;27/12/2020
Su-12/27;NO;sas;27/12/2020
Su-12/27;NY;mil;27/12/2020
Su-12/27;Orl;@ was;27/12/2020
Su-12/27;Phi;@ cle;27/12/2020
Su-12/27;Pho;@ sac;27/12/2020
Su-12/27;Sac;pho;27/12/2020
Su-12/27;SA;@ nor;27/12/2020
Su-12/27;Was;orl;27/12/2020
Mo-12/28;Atl;det;28/12/2020
Mo-12/28;Bkn;mem;28/12/2020
Mo-12/28;Den;hou;28/12/2020
Mo-12/28;Det;@ atl;28/12/2020
Mo-12/28;Hou;@ den;28/12/2020
Mo-12/28;LAL;por;28/12/2020
Mo-12/28;Mem;@ bkn;28/12/2020
Mo-12/28;OKC;uta;28/12/2020
Mo-12/28;Por;@ lal;28/12/2020
Mo-12/28;Uth;@ okc;28/12/2020
Tu-12/29;Bos;@ ind;29/12/2020
Tu-12/29;Chi;@ was;29/12/2020
Tu-12/29;Cle;nyk;29/12/2020
Tu-12/29;Den;@ sac;29/12/2020
Tu-12/29;Det;gsw;29/12/2020
Tu-12/29;Gsw;@ det;29/12/2020
Tu-12/29;Ind;bos;29/12/2020
Tu-12/29;LAC;min;29/12/2020
Tu-12/29;Mia;mil;29/12/2020
Tu-12/29;Mil;@ mia;29/12/2020
Tu-12/29;Min;@ lac;29/12/2020
Tu-12/29;NO;@ pho;29/12/2020
Tu-12/29;NY;@ cle;29/12/2020
Tu-12/29;OKC;orl;29/12/2020
Tu-12/29;Orl;@ okc;29/12/2020
Tu-12/29;Phi;tor;29/12/2020
Tu-12/29;Pho;nor;29/12/2020
Tu-12/29;Sac;den;29/12/2020
Tu-12/29;Tor;@ phi;29/12/2020
Tu-12/29;Was;chi;29/12/2020
We-12/30;Atl;@ bkn;30/12/2020
We-12/30;Bos;mem;30/12/2020
We-12/30;Bkn;atl;30/12/2020
We-12/30;Cha;@ dal;30/12/2020
We-12/30;Dal;cha;30/12/2020
We-12/30;LAC;por;30/12/2020
We-12/30;LAL;@ sas;30/12/2020
We-12/30;Mem;@ bos;30/12/2020
We-12/30;Mia;mil;30/12/2020
We-12/30;Mil;@ mia;30/12/2020
We-12/30;Por;@ lac;30/12/2020
We-12/30;SA;lal;30/12/2020
Th-12/31;Chi;@ was;31/12/2020
Th-12/31;Cle;@ ind;31/12/2020
Th-12/31;Hou;sac;31/12/2020
Th-12/31;Ind;cle;31/12/2020
Th-12/31;NO;@ okc;31/12/2020
Th-12/31;NY;@ tor;31/12/2020
Th-12/31;OKC;nor;31/12/2020
Th-12/31;Orl;phi;31/12/2020
Th-12/31;Phi;@ orl;31/12/2020
Th-12/31;Pho;@ uta;31/12/2020
Th-12/31;Sac;@ hou;31/12/2020
Th-12/31;Tor;nyk;31/12/2020
Th-12/31;Uth;pho;31/12/2020
Th-12/31;Was;chi;31/12/2020
Fr-1/1;Atl;@ bkn;01/01/2021
Fr-1/1;Bos;@ det;01/01/2021
Fr-1/1;Bkn;atl;01/01/2021
Fr-1/1;Cha;mem;01/01/2021
Fr-1/1;Chi;@ mil;01/01/2021
Fr-1/1;Dal;mia;01/01/2021
Fr-1/1;Den;pho;01/01/2021
